User,User_type,Download (Rx) bandwidth (bps)_1,Rx packet loss (percent)_1,Upload (Tx) bandwidth (bps)_1,Tx packet loss (percent)_1,RTT (ping) (ms)_1,Rx packet loss burst length (packets)_1,Tx packet loss burst length (packets)_1,Rx instant jitter (ms)_1,Tx instant jitter (ms)_1,Rx RFC3550 jitter (ms)_1,Tx RFC3550 jitter (ms)_1,Download (Rx) bandwidth (bps)_2,Rx packet loss (percent)_2,Upload (Tx) bandwidth (bps)_2,Tx packet loss (percent)_2,RTT (ping) (ms)_2,Rx packet loss burst length (packets)_2,Tx packet loss burst length (packets)_2,Rx instant jitter (ms)_2,Tx instant jitter (ms)_2,Rx RFC3550 jitter (ms)_2,Tx RFC3550 jitter (ms)_2,Download (Rx) bandwidth (bps)_3,Rx packet loss (percent)_3,Upload (Tx) bandwidth (bps)_3,Tx packet loss (percent)_3,RTT (ping) (ms)_3,Rx packet loss burst length (packets)_3,Tx packet loss burst length (packets)_3,Rx instant jitter (ms)_3,Tx instant jitter (ms)_3,Rx RFC3550 jitter (ms)_3,Tx RFC3550 jitter (ms)_3,network
1,2,3235357,6.755584,440991.12,14.731921,93,1.4371334,1.4672788,12.4751,3.8822,5.275371,1.2461934,4574400,3.4638827,811534,7.3109536,105,1.2130541,1.1892487,17.6568,0.0132,5.2439876,0.7988781,3783588.2,1.9144055,693553,10.669876,148,1.2462035,1.5341609,18.0732,4.3719,6.006766,1.1434425,
1,2,2966358.5,7.6147294,494161.47,13.154995,93,1.4321494,1.3663999,18.733099,3.2732,5.932451,1.0667896,4230884,4.1179852,733231.6,6.338802,105,1.2320073,1.270056,18.112299,0.46969998,5.020955,0.8512566,3650994.5,2.527905,805079.75,8.165443,104,1.2462032,1.5217634,41.1754,115.7715,7.944764,12.448616,
1,2,2641033.2,9.3577585,339116.22,12.778801,98,1.43215,1.4175297,15.5302,3.5718,4.877649,0.9303766,4197018.5,2.3026452,790413.8,7.992234,141,1.9249761,1.293225,13.0624,2.1102,5.124728,0.8512566,3576981.8,3.0164409,763254.5,6.488661,104,1.2462023,1.3132596,27.026,3.9285998,6.3754606,5.8582954,
1,2,2715102.2,7.8622727,338759.94,7.240951,47,1.4071665,1.3216187,13.5006,1.7198,4.6144915,1.0355997,3928740,2.0131004,755927.4,7.534851,135,1.503484,1.1964538,19.2528,2.1102,6.1677313,0.81400704,3481909,3.6410651,762257,6.8227224,129,1.2462028,1.2941762,22.4165,16.9294,5.9131618,3.1789837,
1,2,3091826.2,4.6855655,502565.66,7.240951,47,1.4108921,1.3216187,17.699299,1.7198,6.4543004,1.0355997,3781473,3.7566385,713595.94,6.206966,135,1.5034859,1.1965299,18.7559,13.0939,5.6284075,2.5360427,3405937,4.2241054,694439.25,6.3216677,138,1.2674999,1.2739475,14.5126,46.5114,5.8916206,11.984949,
1,2,3307302.5,4.718394,565243.44,6.5162144,52,1.4108919,1.3746282,15.787299,0.42159998,5.3438916,0.9899864,3967235.5,4.4001594,636323.5,10.273246,142,1.3786788,1.4929459,17.7349,5.7478,6.900057,1.3231661,3539297,4.2749596,527259.6,8.182964,147,1.2545283,1.286372,19.319,25.958899,6.268918,3.3885736,1
1,2,3506268.2,4.718393,487417.3,6.5162125,146,1.4108913,1.3746278,9.592999,0.42159998,3.7788143,0.9899864,3886208.2,4.618274,616902.75,11.689094,115,1.3606913,1.5964254,20.5031,64.1484,5.521966,11.652385,3553256,3.576055,490719,9.019414,136,1.618193,1.2955235,16.8158,10.7992,5.852856,2.9605694,
1,2,3974493.2,4.741026,542399.56,6.550437,135,1.4108915,1.3746276,10.4817,0.0034,4.7511735,1.0278789,3742183.8,4.9669547,554838.5,11.130308,115,1.3420812,1.4572765,114.1492,7.8652997,12.928431,4.1505885,3737065.8,3.6786807,517786.88,9.515292,136,1.6438035,1.2196026,18.8853,37.7397,5.516013,10.460314,
1,2,4211204.5,3.1277392,582072.1,6.219771,135,1.2378564,1.4045613,14.1981,0.7,8.585068,1.0961775,3873343.5,4.8958864,565890.75,10.621435,118,1.2750705,1.4330941,14.8052,16.666399,4.6136603,2.5141897,3737891.2,4.1780906,538598,9.973347,135.2552,1.7946509,1.3013687,23.5096,12.7706995,6.842215,2.577269,
1,2,4198656.5,3.4449,477319.75,6.2197747,155,1.2789315,1.4045619,18.998999,0.7,5.3758183,1.0429802,4139277,5.9780054,722792.75,10.706038,143,1.2750703,1.4035504,17.0053,4.5744,4.5706625,1.4063343,3898518.2,4.1541896,486019,10.493218,135.2552,1.3595759,1.3143303,33.0506,132.4966,7.804395,11.251081,
